,NDVI 2018,NDVI 2019,NDVI 2020,NDVI 2022,NDVI 2024,"Delta total
(2018→2024)","Delta recent
(2022→2024)"
Stable vegetation,0.030915620562931,0.036813439927122805,0.040801988547155756,0.03548816080524773,0.03916416694609934,0.14737376020018847,0.012360136942444297
Vegetation loss,0.06756830079177278,0.011963470021225974,0.023754066706920356,0.008027791797593865,0.015290644142233857,0.27272453816599906,0.018478602177188407
Urban growth,0.06025958742674309,0.0413865655661888,0.04537853525357944,0.035172855889471326,0.026766522742830715,0.10486385988966304,0.025243024133859683
Stable other,0.09275055830136132,0.05278083523212432,0.09362434429539254,0.05036102495798085,0.022012946374509113,0.025132704147953037,0.007057644912879499
